step,time_s,ps0_raw,ps7_raw,ps1_raw,ps2_raw,ps5_raw,ps6_raw,front_m_raw,front_filtered,left_enc,right_enc,delta_d,kalman_prediccion,kalman_estimate,kalman_gain,action
0,0.0,71.49,70.27,69.98,67.79,68.71,71.73,0.7224,0.7224,0.0,0.0,0.0,1.0,0.8012,0.7163,AVANZAR
1,0.032,65.12,66.6,70.24,69.97,67.07,69.65,0.7775,0.7389,0.1005,0.1005,0.00206,0.7991,0.7899,0.4257,AVANZAR
2,0.064,62.72,65.05,66.82,67.92,69.75,65.8,0.8017,0.7578,0.201,0.201,0.00206,0.7878,0.7922,0.3107,AVANZAR
3,0.096,62.82,63.39,67.04,64.97,67.43,64.48,0.8114,0.7738,0.3014,0.3014,0.00206,0.7901,0.7954,0.2513,AVANZAR
4,0.128,68.08,66.48,70.81,72.76,68.85,63.73,0.7611,0.77,0.4019,0.4019,0.00206,0.7934,0.7864,0.2165,AVANZAR
5,0.16,66.53,60.78,64.21,74.83,64.94,66.84,0.806,0.7808,0.5024,0.5024,0.00206,0.7843,0.7885,0.1945,AVANZAR
6,0.192,57.4,59.89,68.63,58.9,69.27,71.1,0.8735,0.8086,0.6029,0.6029,0.00206,0.7865,0.8021,0.18,AVANZAR
7,0.224,67.06,67.64,72.76,71.89,65.89,61.55,0.7602,0.7941,0.7034,0.7034,0.00206,0.8001,0.7933,0.1701,AVANZAR
8,0.256,67.55,66.33,64.99,71.16,66.83,67.13,0.7649,0.7853,0.8038,0.8038,0.00206,0.7912,0.7869,0.1633,AVANZAR
9,0.288,65.57,69.07,54.67,64.85,72.53,70.14,0.7611,0.7781,0.9043,0.9043,0.00206,0.7849,0.7811,0.1584,AVANZAR
10,0.32,61.35,68.79,69.83,65.33,64.64,71.6,0.7894,0.7815,1.0048,1.0048,0.00206,0.7791,0.7807,0.155,AVANZAR
11,0.352,63.28,70.78,63.42,74.12,68.46,66.61,0.7662,0.7769,1.1053,1.1053,0.00206,0.7786,0.7767,0.1525,AVANZAR
12,0.384,68.15,65.88,63.75,68.1,69.42,69.68,0.7643,0.7731,1.2058,1.2058,0.00206,0.7746,0.7731,0.1508,AVANZAR
13,0.416,73.49,66.61,65.62,66.45,66.56,68.16,0.7327,0.761,1.3062,1.3062,0.00206,0.771,0.7653,0.1495,AVANZAR
14,0.448,60.34,73.45,64.82,67.73,67.0,67.11,0.7728,0.7645,1.4067,1.4067,0.00206,0.7632,0.7647,0.1486,AVANZAR
15,0.48,66.62,72.36,68.68,62.18,61.46,67.88,0.7381,0.7566,1.5072,1.5072,0.00206,0.7626,0.759,0.1479,AVANZAR
16,0.512,67.58,71.24,68.49,69.81,65.17,66.02,0.7382,0.7511,1.6077,1.6077,0.00206,0.7569,0.7541,0.1474,AVANZAR
