step,time_s,ps0_raw,ps7_raw,ps1_raw,ps2_raw,ps5_raw,ps6_raw,front_m_raw,front_filtered,left_enc,right_enc,delta_d,kalman_prediccion,kalman_estimate,kalman_gain,action
0,0.0,71.49,70.27,69.98,67.79,68.71,71.73,0.7224,0.7224,0.0,0.0,0.0,1.0,0.8012,0.7163,AVANZAR
1,0.05,65.12,66.6,70.24,69.97,67.07,69.65,0.7775,0.7389,0.201,0.201,0.00412,0.797,0.7887,0.4257,AVANZAR
2,0.1,62.72,65.05,66.82,67.92,69.75,65.8,0.8017,0.7578,0.4019,0.4019,0.00412,0.7846,0.7899,0.3107,AVANZAR
3,0.15,62.82,63.39,67.04,64.97,67.43,64.48,0.8114,0.7738,0.6029,0.6029,0.00412,0.7858,0.7922,0.2513,AVANZAR
4,0.2,68.08,66.48,70.81,72.76,68.85,63.73,0.7611,0.77,0.8038,0.8038,0.00412,0.7881,0.7823,0.2165,AVANZAR
5,0.25,66.53,60.78,64.21,74.83,64.94,66.84,0.806,0.7808,1.0048,1.0048,0.00412,0.7781,0.7836,0.1945,AVANZAR
6,0.3,57.4,59.89,68.63,58.9,69.27,71.1,0.8735,0.8086,1.2058,1.2058,0.00412,0.7794,0.7964,0.18,AVANZAR
7,0.35,67.06,67.64,72.76,71.89,65.89,61.55,0.7602,0.7941,1.4067,1.4067,0.00412,0.7922,0.7868,0.1701,AVANZAR
8,0.4,67.55,66.33,64.99,71.16,66.83,67.13,0.7649,0.7853,1.6077,1.6077,0.00412,0.7827,0.7798,0.1633,AVANZAR
9,0.45,65.57,69.07,54.67,64.85,72.53,70.14,0.7611,0.7781,1.8086,1.8086,0.00412,0.7757,0.7733,0.1584,AVANZAR
10,0.5,61.35,68.79,69.83,65.33,64.64,71.6,0.7894,0.7815,2.0096,2.0096,0.00412,0.7692,0.7724,0.155,AVANZAR
11,0.55,63.28,70.78,63.42,74.12,68.46,66.61,0.7662,0.7769,2.2106,2.2106,0.00412,0.7682,0.7679,0.1525,AVANZAR
12,0.6,68.15,65.88,63.75,68.1,69.42,69.68,0.7643,0.7731,2.4115,2.4115,0.00412,0.7638,0.7639,0.1508,AVANZAR
13,0.65,73.49,66.61,65.62,66.45,66.56,68.16,0.7327,0.761,2.6125,2.6125,0.00412,0.7598,0.7557,0.1495,AVANZAR
14,0.7,60.34,73.45,64.82,67.73,67.0,67.11,0.7728,0.7645,2.8134,2.8134,0.00412,0.7516,0.7547,0.1486,AVANZAR
15,0.75,66.62,72.36,68.68,62.18,61.46,67.88,0.7381,0.7566,3.0144,3.0144,0.00412,0.7506,0.7488,0.1479,AVANZAR
16,0.8,67.58,71.24,68.49,69.81,65.17,66.02,0.7382,0.7511,3.2154,3.2154,0.00412,0.7446,0.7437,0.1474,AVANZAR
17,0.85,65.37,67.67,70.97,70.73,69.76,67.51,0.7699,0.7567,3.4163,3.4163,0.00412,0.7396,0.744,0.1471,AVANZAR
18,0.9,69.3,65.36,62.07,66.31,68.28,71.32,0.7611,0.758,3.6173,3.6173,0.00412,0.7399,0.743,0.1468,AVANZAR
19,0.95,72.06,62.73,73.66,67.12,63.06,63.23,0.7634,0.7596,3.812,3.812,0.003991,0.739,0.7426,0.1466,AVANZAR
20,1.0,67.63,67.38,63.58,61.21,66.11,69.33,0.7585,0.7593,4.0129,4.0129,0.00412,0.7385,0.7414,0.1465,AVANZAR
