t,raw_front,filtered_front,kalman_prior,kalman_post,kalman_gain,delta_s,enc_left,enc_right,side_left,side_right,action
0.032,0.09837,0.09837,0.5,0.11746,0.95247,0.0,0.0,0.0,0.09837,0.09844,turn_right
0.064,0.09835,0.09837,0.11739,0.10791,0.49811,6.4e-05,0.01884,-0.01256,0.09828,0.09825,turn_right
0.096,0.09836,0.09836,0.10791,0.10457,0.34985,0.0,0.05024,-0.04396,0.0983,0.09847,turn_right
0.128,0.09837,0.09836,0.10457,0.10283,0.2805,-0.0,0.08792,-0.08164,0.09845,0.09841,turn_right
0.16,0.09832,0.09836,0.10283,0.10175,0.24271,0.0,0.13816,-0.13188,0.09843,0.09844,turn_right
0.192,0.09845,0.09837,0.10175,0.101,0.2204,0.0,0.1884,-0.18212,0.09831,0.0986,turn_right
0.224,0.09839,0.09838,0.101,0.10046,0.2066,-0.0,0.2512,-0.24492,0.09835,0.09824,turn_right
0.256,0.09825,0.09835,0.10046,0.10004,0.19782,0.0,0.30772,-0.30144,0.09867,0.09836,turn_right
0.288,0.0983,0.09834,0.10004,0.09972,0.19213,0.0,0.37052,-0.36424,0.09842,0.0985,turn_right
0.32,0.09845,0.09836,0.09972,0.09946,0.1884,0.0,0.4396,-0.43332,0.09827,0.09819,turn_right
0.352,0.09836,0.09836,0.09946,0.09926,0.18593,-0.0,0.5024,-0.49612,0.0984,0.0983,turn_right
0.384,0.09827,0.09834,0.09926,0.09909,0.18429,0.0,0.57148,-0.5652,0.09836,0.09853,turn_right
0.416,0.09835,0.09834,0.09909,0.09895,0.1832,0.0,0.64056,-0.63428,0.09823,0.09848,turn_right
0.448,0.0983,0.09833,0.09895,0.09884,0.18247,0.0,0.70964,-0.70336,0.09827,0.09839,turn_right
0.48,0.09838,0.09834,0.09884,0.09875,0.18199,-0.0,0.77872,-0.77244,0.09833,0.09831,turn_right
0.512,0.09834,0.09834,0.09875,0.09868,0.18166,0.0,0.8478,-0.84152,0.09847,0.09836,turn_right
0.544,0.09843,0.09836,0.09868,0.09862,0.18144,0.0,0.91688,-0.9106,0.0983,0.09831,turn_right
0.576,0.09842,0.09837,0.09862,0.09857,0.1813,-0.0,0.98596,-0.97968,0.09831,0.09844,turn_right
0.608,0.09838,0.09838,0.09857,0.09854,0.1812,0.0,1.05504,-1.04876,0.09839,0.09834,turn_right
0.64,0.09836,0.09837,0.09854,0.09851,0.18113,0.0,1.12412,-1.11784,0.09829,0.09839,turn_right
