step,time_s,ps0_raw,ps7_raw,ps1_raw,ps2_raw,ps5_raw,ps6_raw,front_m_raw,front_filtered,left_enc,right_enc,delta_d,kalman_prediccion,kalman_estimate,kalman_gain,action
0,0.0,65.12,66.82,70.24,69.97,66.6,62.72,0.7762,0.7762,0.0,0.0,0.0,1.0,0.8397,0.7163,AVANZAR
1,0.05,65.8,63.39,65.05,62.82,67.43,64.48,0.7929,0.7812,0.201,0.201,0.00412,0.8356,0.8174,0.4257,AVANZAR
2,0.1,72.76,64.94,68.85,63.73,64.21,74.83,0.746,0.7707,0.4019,0.4019,0.00412,0.8133,0.7924,0.3107,AVANZAR
3,0.15,57.4,72.76,68.63,58.9,59.89,67.06,0.7978,0.7788,0.6029,0.6029,0.00412,0.7883,0.7907,0.2513,AVANZAR
4,0.2,61.55,66.33,67.64,67.55,66.83,67.13,0.8019,0.7857,0.8038,0.8038,0.00412,0.7866,0.7899,0.2165,AVANZAR
5,0.25,64.85,64.64,72.53,70.14,69.83,65.33,0.7908,0.7873,1.0048,1.0048,0.00412,0.7858,0.7867,0.1945,AVANZAR
6,0.3,63.28,63.75,63.42,74.12,70.78,68.15,0.8061,0.7929,1.2058,1.2058,0.00412,0.7826,0.7869,0.18,AVANZAR
7,0.35,69.68,66.61,65.88,73.49,66.56,68.16,0.7517,0.7806,1.4067,1.4067,0.00412,0.7827,0.7775,0.1701,AVANZAR
8,0.4,67.73,61.46,67.0,67.11,68.68,62.18,0.7945,0.7847,1.6077,1.6077,0.00412,0.7733,0.7768,0.1633,AVANZAR
9,0.45,67.58,70.97,68.49,69.81,71.24,65.37,0.7396,0.7712,1.8086,1.8086,0.00412,0.7727,0.7674,0.1584,AVANZAR
10,0.5,67.51,65.36,67.67,69.3,68.28,71.32,0.7709,0.7711,2.0096,2.0096,0.00412,0.7633,0.7645,0.155,AVANZAR
11,0.55,67.12,66.11,63.06,63.23,63.58,61.21,0.7686,0.7703,2.2106,2.2106,0.00412,0.7604,0.7616,0.1525,AVANZAR
12,0.6,65.99,62.78,69.81,70.84,67.03,63.98,0.7957,0.778,2.4115,2.4115,0.00412,0.7575,0.7633,0.1508,AVANZAR
13,0.65,67.9,66.03,67.01,67.69,68.93,60.3,0.7647,0.774,2.6125,2.6125,0.00412,0.7591,0.76,0.1495,AVANZAR
14,0.7,63.68,70.42,66.65,65.77,69.96,66.86,0.7656,0.7715,2.8134,2.8134,0.00412,0.7559,0.7573,0.1486,AVANZAR
15,0.75,62.88,63.62,62.22,69.93,65.16,67.52,0.8095,0.7829,3.0144,3.0144,0.00412,0.7532,0.7615,0.1479,AVANZAR
16,0.8,66.72,67.76,66.48,65.9,70.76,62.48,0.7615,0.7765,3.2154,3.2154,0.00412,0.7574,0.758,0.1474,AVANZAR
17,0.85,66.86,63.79,71.37,70.3,68.84,67.59,0.7842,0.7788,3.4163,3.4163,0.00412,0.7539,0.7583,0.1471,AVANZAR
18,0.9,61.14,67.01,71.63,66.47,64.54,71.64,0.8008,0.7854,3.6173,3.6173,0.00412,0.7542,0.7611,0.1468,AVANZAR
19,0.95,70.12,66.98,64.93,64.93,71.0,71.0,0.7473,0.774,3.812,3.812,0.003991,0.7571,0.7556,0.1466,AVANZAR
20,1.0,65.18,67.38,68.79,64.52,69.52,64.08,0.7727,0.7736,4.0129,4.0129,0.00412,0.7515,0.7546,0.1465,AVANZAR
21,1.05,68.43,69.33,61.03,68.19,64.83,66.6,0.7433,0.7645,4.2139,4.2139,0.00412,0.7505,0.7494,0.1464,AVANZAR
22,1.1,67.39,71.83,69.15,68.03,75.06,72.14,0.7363,0.756,4.4148,4.4148,0.00412,0.7453,0.744,0.1463,AVANZAR
23,1.15,68.11,63.98,69.47,64.82,67.69,68.27,0.776,0.762,4.6158,4.6158,0.00412,0.7399,0.7452,0.1462,AVANZAR
24,1.2,68.53,67.67,60.44,65.41,64.82,68.83,0.7518,0.759,4.8168,4.8168,0.00412,0.7411,0.7426,0.1462,AVANZAR
25,1.25,71.23,65.15,62.7,67.84,65.63,66.26,0.7523,0.757,5.0177,5.0177,0.00412,0.7385,0.7405,0.1462,AVANZAR
26,1.3,66.71,68.11,69.58,68.46,63.89,70.21,0.7597,0.7578,5.2187,5.2187,0.00412,0.7364,0.7398,0.1462,AVANZAR
27,1.35,65.59,67.97,70.75,65.12,72.8,68.88,0.767,0.7605,5.4196,5.4196,0.00412,0.7357,0.7403,0.1461,AVANZAR
